,地市,公司,0,1,2,3,4,5,6,7,8,9
91,菏泽市,湖北祥云（集团）化工股份有限公司,0,0,0,0,0,0,,,,
92,鹤岗市,中海石油化学股份有限公司,,,,,,,,,,
93,衡水市,阳煤化工股份有限公司,,0,1,,,,,,,
94,衡水市,河北天人化工股份有限公司,0,,0,,,,,,,
95,衡水市,沧州大化集团有限责任公司,1,0,,,,,,,,
96,衡阳市,宁波远东化工集团有限公司,,,,,,,,,,
97,红河哈尼族彝族自治州,云南云天化股份有限公司?,,,,,,,,,,
98,呼和浩特市,中海石油化学股份有限公司,,,,,,,,,,
99,呼伦贝尔市,云南云天化股份有限公司,,,,,,,,,,
100,葫芦岛市,庆丰农业生产资料集团有限责任公司,,,,,,,,,,
101,黄冈市,湖北祥云（集团）化工股份有限公司,,,,,,,,,,
102,惠州市,富利香港有限公司,,,,,,,,,,
103,吉林市,史丹利农业集团股份有限公司,,,,,,,,,,
104,济南市,山西晋城无烟煤矿业集团有限责任公司,,1,,,,,,,,
105,济南市,山东明水化工有限公司,1,,,,,,,,,
106,济宁市,中国石油化工集团公司???,,0,0,,,,,,,
107,济宁市,云南云天化股份有限公司,0,,0,,,,,,,
108,济宁市,兖矿集团有限公司???,0,0,,,,,,,,
109,冀州市,山西晋城无烟煤矿业集团有限责任公司,,,,,,,,,,
110,佳木斯市,黑龙江大龙生态肥股份有限公司,,1,,,,,,,,
111,佳木斯市,黑龙江倍丰农业生产资料集团有限公司,1,,,,,,,,,
112,焦作市,山西晋城无烟煤矿业集团有限责任公司,,,,,,,,,,
113,金昌市,中化化肥有限公司?,,1,,,,,,,,
114,金昌市,瓮福（集团）有限责任公司,1,,,,,,,,,
115,晋城市,天脊煤化工集团股份有限公司,,0,,,,,,,,
116,晋城市,山西晋城无烟煤矿业集团有限责任公司,0,,,,,,,,,
117,晋中市,阳煤化工股份有限公司,,,,,,,,,,
118,荆门市,中农集团控股股份有限公司?,,0,0,0,0,0,,,,
119,荆门市,中海石油化学股份有限公司,0,,0,0,1,1,,,,
120,荆门市,深圳市芭田生态工程股份有限公司,0,0,,0,3,0,,,,
121,荆门市,湖北洋丰集团股份有限公司,0,0,0,,0,0,,,,
122,荆门市,湖北新洋丰肥业股份有限公司,0,1,3,0,,2,,,,
123,荆门市,湖北鄂中生态工程股份有限公司,0,1,0,0,2,,,,,
124,荆州市,湖北宜化化工股份有限公司,,0,0,0,,,,,,
125,荆州市,成都云图控股股份有限公司,0,,0,0,,,,,,
126,荆州市,沧州大化集团有限责任公司,0,0,,0,,,,,,
127,荆州市,北京澳佳生态农业股份有限公司,0,0,0,,,,,,,
128,九江市,湖北新洋丰肥业股份有限公司,,,,,,,,,,
129,开封市,湖北鄂中生态工程股份有限公司???,,0,,,,,,,,
130,开封市,富利香港有限公司,0,,,,,,,,,
131,开远市,云南云天化股份有限公司,,0,,,,,,,,
132,开远市,云南煤化工集团有限公司???,0,,,,,,,,,
133,昆明市,中化化肥有限公司?,,0,1,2,1,0,0,,,
134,昆明市,云南云叶化肥股份有限公司???,0,,0,0,0,0,0,,,
135,昆明市,云南云天化股份有限公司,1,0,,0,0,0,0,,,
136,昆明市,云南祥丰化肥股份有限公司,2,0,0,,0,,,,,
137,昆明市,昆明劲勋肥业股份有限公司,1,0,0,0,,1,0,,,
138,昆明市,金正大生态工程集团股份有限公司,0,0,0,,1,,0,,,
139,昆明市,富利香港有限公司,0,0,0,,0,0,,,,
140,来宾市,湖北鄂中生态工程股份有限公司,,,,,,,,,,
141,莱阳市,阳泉煤业（集团）有限责任公司,,0,,,,,,,,
142,莱阳市,烟台市农业生产资料总公司,0,,,,,,,,,
143,兰州市,四川美丰化工股份有限公司,,0,,,,,,,,
144,兰州市,宁波远东化工集团有限公司,0,,,,,,,,,
145,廊坊市,迪斯科化工集团股份有限公司,,,,,,,,,,
146,乐山市,成都云图控股股份有限公司,,,,,,,,,,
147,连云港市,香港景裕发展有限公司,,,,,,,,,,
148,凉山彝族自治州,四川诚至诚烟草投资有限责任公司,,0,0,,,,,,,
149,凉山彝族自治州,湖北新洋丰肥业股份有限公司,0,,1,,,,,,,
150,凉山彝族自治州,成都云图控股股份有限公司,0,1,,,,,,,,
151,辽源市,抚顺绿叶复合肥有限公司,,,,,,,,,,
152,聊城市,云南云天化股份有限公司,,0,,,,,,,,
153,聊城市,山东聊城鲁西化工集团有限责任公司,0,,,,,,,,,
154,临汾市,阳泉煤业（集团）有限责任公司,,,,,,,,,,
155,临夏回族自治州,甘肃刘化（集团）有限公司,,,,,,,,,,
156,临沂市,中农集团控股股份有限公司,,1,0,1,0,0,0,0,,
157,临沂市,中化化肥有限公司?,1,,1,0,1,2,1,0,,
158,临沂市,兖矿集团有限公司???,0,1,,0,0,0,0,0,,
159,临沂市,烟台市农业生产资料总公司,1,0,0,,0,1,0,0,,
160,临沂市,史丹利农业集团股份有限公司,0,1,0,0,,1,0,0,,
161,临沂市,山东三方化工集团有限公司,0,2,0,1,1,,1,0,,
162,临沂市,金正大生态工程集团股份有限公司,0,1,0,0,0,1,,0,,
163,临沂市,富利香港有限公司,0,0,0,0,0,0,0,,,
164,柳州市,无锡市中远化工有限公司???,,0,,,,,,,,
165,柳州市,广西柳州化工控股有限公司,0,,,,,,,,,
166,龙岩市,瓮福（集团）有限责任公司,,,,,,,,,,
167,娄底市,湖北宜化化工股份有限公司,,,,,,,,,,
168,泸州市,泸天化(集团)有限责任公司,,,,,,,,,,
169,洛阳市,中国化工集团公司,,,,,,,,,,
170,漯河市,湖北宜化化工股份有限公司,,,,,,,,,,
171,眉山市,四川金象化工产业集团股份有限公司,,1,0,,,,,,,
172,眉山市,四川诚至诚烟草投资有限责任公司,1,,0,,,,,,,
173,眉山市,成都云图控股股份有限公司,0,0,,,,,,,,
174,绵阳市,四川美丰化工股份有限公司,,,,,,,,,,
175,牡丹江市,黑龙江倍丰农业生产资料集团有限公司,,,,,,,,,,
176,南京市,中国石油化工集团公司???,,0,0,,,,,,,
177,南京市,中国化工集团公司,0,,0,,,,,,,
178,南京市,南京恒康肥业有限公司,0,0,,,,,,,,
179,南宁市,深圳市芭田生态工程股份有限公司,,0,3,,,,,,,
180,南宁市,泸天化(集团)有限责任公司,0,,0,,,,,,,
181,南宁市,湖北新洋丰肥业股份有限公司,3,0,,,,,,,,
182,盘锦市,辽宁华锦化工（集团）有限责任公司,,,,,,,,,,
183,普洱市,云南云叶化肥股份有限公司??,,1,,,,,,,,
184,普洱市,云南煤化工集团有限公司,1,,,,,,,,,
185,栖霞市,烟台众德集团有限公司,,1,,,,,,,,
186,栖霞市,烟台市农业生产资料总公司,1,,,,,,,,,
187,齐齐哈尔市,中国化工集团公司,,1,0,,,,,,,
188,齐齐哈尔市,史丹利农业集团股份有限公司,1,,0,,,,,,,
189,齐齐哈尔市,庆丰农业生产资料集团有限责任公司,0,0,,,,,,,,
190,潜江市,金正大生态工程集团股份有限公司,,,,,,,,,,
191,黔东南苗族侗族自治州,青岛海湾集团有限公司,,,,,,,,,,
192,黔南布依族苗族自治州,深圳市芭田生态工程股份有限公司,,0,3,0,,,,,,
193,黔南布依族苗族自治州,金正大生态工程集团股份有限公司,0,,1,0,,,,,,
194,黔南布依族苗族自治州,湖北新洋丰肥业股份有限公司,3,1,,0,,,,,,
195,黔南布依族苗族自治州,贵州黔新企业集团有限公司,0,0,0,,,,,,,
196,秦皇岛市,河北天人化工股份有限公司,,,,,,,,,,
197,青岛市,青岛市平度天盛复合肥实业公司,,0,0,0,0,,,,,
198,青岛市,青岛金浪化工集团有限公司,0,,0,0,0,,,,,
199,青岛市,青岛海湾集团有限公司,0,0,,1,0,,,,,
200,青岛市,玖源化工(集团)有限公司,0,0,1,,0,,,,,
201,青岛市,富利香港有限公司,0,0,0,0,,,,,,
202,清远市,金正大生态工程集团股份有限公司,,,,,,,,,,
203,衢州市,山西晋城无烟煤矿业集团有限责任公司,,0,,,,,,,,
